year;_STATE;_COUNTY
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1992;Missouri;St. Charles
1992;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
1993;Missouri;St. Charles
