"","State","Year","precip_mm"
"187","Colorado",2010,462.03
"188","Colorado",2011,447.55
"189","Colorado",2012,312.67
"190","Colorado",2013,477.27
"191","Colorado",2014,486.16
"192","Colorado",2015,551.94
"193","Colorado",2016,433.83
"194","Colorado",2017,480.31
"195","Colorado",2018,379.98
"196","Connecticut",1980,1024.38
"197","Connecticut",1981,1065.02
"198","Connecticut",1982,1211.33
"199","Connecticut",1983,1600.45
"200","Connecticut",1984,1306.83
"201","Connecticut",1985,1077.47
"202","Connecticut",1986,1185.93
"203","Connecticut",1987,1128.52
"204","Connecticut",1988,1090.68
"205","Connecticut",1989,1461.77
"206","Connecticut",1990,1414.27
"207","Connecticut",1991,1213.36
"208","Connecticut",1992,1239.27
"209","Connecticut",1993,1162.05
"210","Connecticut",1994,1280.41
"211","Connecticut",1995,1074.17
"212","Connecticut",1996,1531.62
"213","Connecticut",1997,1084.07
"214","Connecticut",1998,1272.03
"215","Connecticut",1999,1248.41
"216","Connecticut",2000,1238
"217","Connecticut",2001,1004.32
"218","Connecticut",2002,1204.47
"219","Connecticut",2003,1425.45
"220","Connecticut",2004,1234.69
"221","Connecticut",2005,1388.87
"222","Connecticut",2006,1448.05
"223","Connecticut",2007,1156.72
"224","Connecticut",2008,1512.06
"225","Connecticut",2009,1282.7
"226","Connecticut",2010,1232.92
"227","Connecticut",2011,1617.73
"228","Connecticut",2012,1000.51
"229","Connecticut",2013,1102.11
"230","Connecticut",2014,1143.25
"231","Connecticut",2015,941.83
"232","Connecticut",2016,932.94
"233","Connecticut",2017,1120.14
"234","Connecticut",2018,1577.09
"235","Delaware",1980,988.57
"236","Delaware",1981,931.67
"237","Delaware",1982,1016.25
"238","Delaware",1983,1367.03
"239","Delaware",1984,1118.11
"240","Delaware",1985,999.49
"241","Delaware",1986,939.55
"242","Delaware",1987,923.54
"243","Delaware",1988,985.52
"244","Delaware",1989,1441.7
"245","Delaware",1990,1092.96
"246","Delaware",1991,1062.74
"247","Delaware",1992,1029.72
"248","Delaware",1993,1128.78
"249","Delaware",1994,1201.67
"250","Delaware",1995,975.11
"251","Delaware",1996,1470.66
"252","Delaware",1997,1044.19
"253","Delaware",1998,1055.12
"254","Delaware",1999,1159.26
"255","Delaware",2000,1173.23
"256","Delaware",2001,996.19
"257","Delaware",2002,1180.34
"258","Delaware",2003,1468.63
"259","Delaware",2004,1135.63
"260","Delaware",2005,1190.5
"261","Delaware",2006,1187.7
"262","Delaware",2007,975.36
"263","Delaware",2008,1082.29
"264","Delaware",2009,1420.88
"265","Delaware",2010,1030.22
"266","Delaware",2011,1131.82
"267","Delaware",2012,998.73
"268","Delaware",2013,1289.05
"269","Delaware",2014,1143
"270","Delaware",2015,1175.26
"271","Delaware",2016,1160.02
"272","Delaware",2017,1131.06
"273","Delaware",2018,1524.51
"274","Florida",1980,1251.97
"275","Florida",1981,1129.54
"276","Florida",1982,1557.53
"277","Florida",1983,1648.21
"278","Florida",1984,1253.24
"279","Florida",1985,1329.44
"280","Florida",1986,1329.94
"281","Florida",1987,1341.37
"282","Florida",1988,1334.52
"283","Florida",1989,1236.98
"284","Florida",1990,1082.29
"285","Florida",1991,1590.29
"286","Florida",1992,1426.97
"287","Florida",1993,1267.71
"288","Florida",1994,1645.41
"289","Florida",1995,1501.14
"290","Florida",1996,1370.58
"291","Florida",1997,1515.11
"292","Florida",1998,1449.07
"293","Florida",1999,1262.13
"294","Florida",2000,1023.37
"295","Florida",2001,1326.13
"296","Florida",2002,1485.65
"297","Florida",2003,1492.76
"298","Florida",2004,1453.39
"299","Florida",2005,1510.79
"300","Florida",2006,1041.4
"301","Florida",2007,1110.49
"302","Florida",2008,1349.5
"303","Florida",2009,1365.76
"304","Florida",2010,1222.25
"305","Florida",2011,1187.96
"306","Florida",2012,1399.29
"307","Florida",2013,1444.5
"308","Florida",2014,1501.9
"309","Florida",2015,1342.64
"310","Florida",2016,1356.61
"311","Florida",2017,1489.2
"312","Florida",2018,1537.21
"313","Georgia",1980,1195.58
"314","Georgia",1981,1069.09
"315","Georgia",1982,1353.31
"316","Georgia",1983,1436.12
"317","Georgia",1984,1219.2
"318","Georgia",1985,1195.83
"319","Georgia",1986,1079.5
"320","Georgia",1987,1142.75
"321","Georgia",1988,1108.71
"322","Georgia",1989,1405.13
"323","Georgia",1990,1139.19
"324","Georgia",1991,1469.14
"325","Georgia",1992,1492
"326","Georgia",1993,1164.84
"327","Georgia",1994,1555.24
"328","Georgia",1995,1261.62
"329","Georgia",1996,1236.98
"330","Georgia",1997,1455.17
"331","Georgia",1998,1343.66
"332","Georgia",1999,1037.84
"333","Georgia",2000,1051.05
"334","Georgia",2001,1061.72
"335","Georgia",2002,1262.89
"336","Georgia",2003,1453.64
"337","Georgia",2004,1324.86
"338","Georgia",2005,1390.4
"339","Georgia",2006,990.6
"340","Georgia",2007,966.98
"341","Georgia",2008,1193.55
"342","Georgia",2009,1561.59
"343","Georgia",2010,1093.22
"344","Georgia",2011,1018.79
"345","Georgia",2012,1067.31
"346","Georgia",2013,1612.65
"347","Georgia",2014,1305.81
"348","Georgia",2015,1415.8
"349","Georgia",2016,1038.86
"350","Georgia",2017,1264.92
"351","Georgia",2018,1537.97
"352","Idaho",1980,728.22
"353","Idaho",1981,663.96
"354","Idaho",1982,775.97
"355","Idaho",1983,797.81
"356","Idaho",1984,694.69
"357","Idaho",1985,511.56
"358","Idaho",1986,637.03
"359","Idaho",1987,467.87
"360","Idaho",1988,520.45
"361","Idaho",1989,532.38
"362","Idaho",1990,594.61
"363","Idaho",1991,569.47
"364","Idaho",1992,481.58
"365","Idaho",1993,611.63
"366","Idaho",1994,517.91
"367","Idaho",1995,790.19
"368","Idaho",1996,815.34
"369","Idaho",1997,642.11
"370","Idaho",1998,735.33
"371","Idaho",1999,575.06
"372","Idaho",2000,530.61
"373","Idaho",2001,485.9
"374","Idaho",2002,482.09
"375","Idaho",2003,573.02
"376","Idaho",2004,588.77
"377","Idaho",2005,624.33
"378","Idaho",2006,670.05
"379","Idaho",2007,496.82
"380","Idaho",2008,558.04
"381","Idaho",2009,581.15
"382","Idaho",2010,663.96
"383","Idaho",2011,627.13
"384","Idaho",2012,653.03
"385","Idaho",2013,448.06
"386","Idaho",2014,672.34
"387","Idaho",2015,572.01
"388","Idaho",2016,631.95
"389","Idaho",2017,732.28
"390","Idaho",2018,554.99
"391","Illinois",1980,854.71
"392","Illinois",1981,1058.93
"393","Illinois",1982,1183.13
"394","Illinois",1983,1048.77
"395","Illinois",1984,1049.27
"396","Illinois",1985,1159
"397","Illinois",1986,951.23
"398","Illinois",1987,881.13
"399","Illinois",1988,744.98
"400","Illinois",1989,822.71
"401","Illinois",1990,1268.48
"402","Illinois",1991,917.45
"403","Illinois",1992,909.57
"404","Illinois",1993,1299.97
"405","Illinois",1994,901.95
"406","Illinois",1995,988.31
"407","Illinois",1996,986.03
"408","Illinois",1997,891.54
"409","Illinois",1998,1130.05
"410","Illinois",1999,907.03
"411","Illinois",2000,1010.16
"412","Illinois",2001,1007.11
"413","Illinois",2002,992.12
"414","Illinois",2003,959.61
"415","Illinois",2004,1015.24
"416","Illinois",2005,798.32
"417","Illinois",2006,1032.26
"418","Illinois",2007,931.93
"419","Illinois",2008,1274.32
"420","Illinois",2009,1294.38
"421","Illinois",2010,1033.27
"422","Illinois",2011,1170.94
"423","Illinois",2012,764.79
"424","Illinois",2013,1079.25
"425","Illinois",2014,1048.77
"426","Illinois",2015,1239.52
"427","Illinois",2016,1009.65
"428","Illinois",2017,960.12
"429","Illinois",2018,1163.32
"430","Indiana",1980,914.4
"431","Indiana",1981,1046.73
"432","Indiana",1982,1139.95
"433","Indiana",1983,1034.03
"434","Indiana",1984,1030.99
"435","Indiana",1985,1154.43
"436","Indiana",1986,1007.62
"437","Indiana",1987,885.7
"438","Indiana",1988,869.95
"439","Indiana",1989,1102.87
"440","Indiana",1990,1359.92
"441","Indiana",1991,922.27
"442","Indiana",1992,1024.64
"443","Indiana",1993,1234.19
"444","Indiana",1994,903.22
"445","Indiana",1995,971.8
"446","Indiana",1996,1210.82
"447","Indiana",1997,1010.92
"448","Indiana",1998,1139.95
"449","Indiana",1999,890.02
"450","Indiana",2000,1102.36
"451","Indiana",2001,1116.58
"452","Indiana",2002,1071.63
"453","Indiana",2003,1178.56
"454","Indiana",2004,1102.36
"455","Indiana",2005,1038.61
"456","Indiana",2006,1295.91
"457","Indiana",2007,1061.47
"458","Indiana",2008,1262.13
"459","Indiana",2009,1169.92
"460","Indiana",2010,949.71
"461","Indiana",2011,1402.08
"462","Indiana",2012,859.03
"463","Indiana",2013,1146.56
"464","Indiana",2014,1106.68
"465","Indiana",2015,1206.75
"466","Indiana",2016,1101.85
"467","Indiana",2017,1158.49
"468","Indiana",2018,1271.27
"469","Iowa",1980,738.89
"470","Iowa",1981,812.55
"471","Iowa",1982,1052.58
"472","Iowa",1983,927.61
"473","Iowa",1984,937.77
"474","Iowa",1985,791.21
"475","Iowa",1986,1013.46
"476","Iowa",1987,834.39
"477","Iowa",1988,545.59
"478","Iowa",1989,627.13
"479","Iowa",1990,988.31
"480","Iowa",1991,958.6
"481","Iowa",1992,919.73
"482","Iowa",1993,1216.15
"483","Iowa",1994,750.57
"484","Iowa",1995,819.4
"485","Iowa",1996,854.96
"486","Iowa",1997,741.93
"487","Iowa",1998,1005.08
"488","Iowa",1999,819.91
"489","Iowa",2000,755.14
"490","Iowa",2001,878.59
"491","Iowa",2002,748.79
"492","Iowa",2003,728.73
"493","Iowa",2004,899.41
"494","Iowa",2005,757.94
"495","Iowa",2006,822.96
"496","Iowa",2007,1077.21
"497","Iowa",2008,1090.17
"498","Iowa",2009,994.41
"499","Iowa",2010,1118.87
"500","Iowa",2011,808.48
"501","Iowa",2012,650.49
"502","Iowa",2013,874.78
"503","Iowa",2014,982.73
"504","Iowa",2015,1080.26
"505","Iowa",2016,967.74
"506","Iowa",2017,821.94
"507","Iowa",2018,1145.03
"508","Kansas",1980,548.13
"509","Kansas",1981,760.48
"510","Kansas",1982,725.68
"511","Kansas",1983,671.07
"512","Kansas",1984,734.57
"513","Kansas",1985,835.91
"514","Kansas",1986,797.56
"515","Kansas",1987,818.39
"516","Kansas",1988,503.94
"517","Kansas",1989,671.58
"518","Kansas",1990,709.42
"519","Kansas",1991,588.01
"520","Kansas",1992,858.27
"521","Kansas",1993,977.14
"522","Kansas",1994,635
"523","Kansas",1995,753.87
"524","Kansas",1996,781.3
"525","Kansas",1997,769.37
"526","Kansas",1998,820.67
"527","Kansas",1999,768.6
"528","Kansas",2000,647.19
"529","Kansas",2001,704.85
"530","Kansas",2002,569.98
"531","Kansas",2003,637.79
"532","Kansas",2004,785.11
"533","Kansas",2005,751.84
"534","Kansas",2006,628.14
"535","Kansas",2007,844.8
"536","Kansas",2008,846.84
"537","Kansas",2009,807.72
"538","Kansas",2010,707.14
"539","Kansas",2011,613.92
"540","Kansas",2012,489.97
"541","Kansas",2013,737.36
"542","Kansas",2014,645.92
"543","Kansas",2015,832.61
"544","Kansas",2016,779.27
"545","Kansas",2017,737.36
"546","Kansas",2018,808.23
"547","Kentucky",1980,946.4
"548","Kentucky",1981,1115.57
"549","Kentucky",1982,1276.35
"550","Kentucky",1983,1214.88
"551","Kentucky",1984,1338.58
"552","Kentucky",1985,1128.27
"553","Kentucky",1986,1081.53
"554","Kentucky",1987,976.38
"555","Kentucky",1988,1106.17
"556","Kentucky",1989,1466.6
"557","Kentucky",1990,1407.41
"558","Kentucky",1991,1169.16
"559","Kentucky",1992,1086.87
"560","Kentucky",1993,1190.5
"561","Kentucky",1994,1235.96
"562","Kentucky",1995,1217.93
"563","Kentucky",1996,1441.45
"564","Kentucky",1997,1245.87
"565","Kentucky",1998,1252.73
"566","Kentucky",1999,967.49
"567","Kentucky",2000,1150.37
"568","Kentucky",2001,1153.92
"569","Kentucky",2002,1359.15
"570","Kentucky",2003,1421.89
"571","Kentucky",2004,1420.88
"572","Kentucky",2005,1010.92
"573","Kentucky",2006,1330.2
"574","Kentucky",2007,1063.24
"575","Kentucky",2008,1181.35
"576","Kentucky",2009,1380.49
"577","Kentucky",2010,1105.92
"578","Kentucky",2011,1634.49
"579","Kentucky",2012,1097.53
"580","Kentucky",2013,1416.81
"581","Kentucky",2014,1196.59
"582","Kentucky",2015,1481.07
"583","Kentucky",2016,1249.43
"584","Kentucky",2017,1276.6
"585","Kentucky",2018,1617.98
"586","Louisiana",1980,1482.85
"587","Louisiana",1981,1157.22
"588","Louisiana",1982,1661.67
"589","Louisiana",1983,1727.2
"590","Louisiana",1984,1493.27
"591","Louisiana",1985,1534.41
"592","Louisiana",1986,1346.71
"593","Louisiana",1987,1529.33
"594","Louisiana",1988,1463.8
"595","Louisiana",1989,1625.6
"596","Louisiana",1990,1492.76
"597","Louisiana",1991,2018.79
"598","Louisiana",1992,1690.62
"599","Louisiana",1993,1497.08
"600","Louisiana",1994,1500.38
"601","Louisiana",1995,1583.18
"602","Louisiana",1996,1348.23
"603","Louisiana",1997,1633.47
"604","Louisiana",1998,1599.69
"605","Louisiana",1999,1215.14
"606","Louisiana",2000,1214.12
"607","Louisiana",2001,1735.07
"608","Louisiana",2002,1632.46
"609","Louisiana",2003,1319.53
"610","Louisiana",2004,1840.99
"611","Louisiana",2005,1157.48
"612","Louisiana",2006,1407.16
"613","Louisiana",2007,1331.47
"614","Louisiana",2008,1425.7
"615","Louisiana",2009,1626.62
"616","Louisiana",2010,1060.7
"617","Louisiana",2011,1092.45
"618","Louisiana",2012,1597.15
"619","Louisiana",2013,1560.32
"620","Louisiana",2014,1420.88
"621","Louisiana",2015,1709.67
"622","Louisiana",2016,1703.83
"623","Louisiana",2017,1627.12
"624","Louisiana",2018,1688.85
"625","Maine",1980,949.71
"626","Maine",1981,1228.85
"627","Maine",1982,958.09
"628","Maine",1983,1420.11
"629","Maine",1984,1105.66
"630","Maine",1985,902.72
"631","Maine",1986,1080.26
"632","Maine",1987,966.22
"633","Maine",1988,974.09
"634","Maine",1989,1062.23
"635","Maine",1990,1299.97
"636","Maine",1991,1123.7
"637","Maine",1992,952.5
"638","Maine",1993,1107.69
"639","Maine",1994,1058.67
"640","Maine",1995,1085.09
"641","Maine",1996,1305.31
"642","Maine",1997,1003.55
"643","Maine",1998,1149.1
"644","Maine",1999,1177.29
"645","Maine",2000,1096.01
"646","Maine",2001,757.68
"647","Maine",2002,1040.89
"648","Maine",2003,1168.91
"649","Maine",2004,985.52
"650","Maine",2005,1564.39
"651","Maine",2006,1311.91
"652","Maine",2007,1209.8
"653","Maine",2008,1422.91
"654","Maine",2009,1256.28
"655","Maine",2010,1252.47
"656","Maine",2011,1271.02
"657","Maine",2012,1203.45
"658","Maine",2013,1158.49
"659","Maine",2014,1256.03
"660","Maine",2015,1096.26
"661","Maine",2016,1050.54
"662","Maine",2017,1151.13
"663","Maine",2018,1181.86
"664","Maryland",1980,932.43
"665","Maryland",1981,928.12
"666","Maryland",1982,1008.38
"667","Maryland",1983,1304.8
"668","Maryland",1984,1155.7
"669","Maryland",1985,1033.53
"670","Maryland",1986,928.37
"671","Maryland",1987,978.15
"672","Maryland",1988,961.64
"673","Maryland",1989,1299.97
"674","Maryland",1990,1175.26
"675","Maryland",1991,909.07
"676","Maryland",1992,1074.93
"677","Maryland",1993,1161.29
"678","Maryland",1994,1164.08
"679","Maryland",1995,1004.06
"680","Maryland",1996,1497.84
"681","Maryland",1997,984.76
"682","Maryland",1998,1078.48
"683","Maryland",1999,1124.46
"684","Maryland",2000,1115.57
"685","Maryland",2001,914.91
"686","Maryland",2002,1053.34
"687","Maryland",2003,1542.8
"688","Maryland",2004,1183.39
"689","Maryland",2005,1118.36
"690","Maryland",2006,1142.24
"691","Maryland",2007,915.67
"692","Maryland",2008,1143
"693","Maryland",2009,1302.26
"694","Maryland",2010,1038.61
"695","Maryland",2011,1298.19
"696","Maryland",2012,1026.16
"697","Maryland",2013,1169.42
"698","Maryland",2014,1136.9
"699","Maryland",2015,1190.24
"700","Maryland",2016,1058.16
"701","Maryland",2017,1046.73
"702","Maryland",2018,1641.35
"703","Massachusetts",1980,902.46
"704","Massachusetts",1981,1096.26
"705","Massachusetts",1982,1161.03
"706","Massachusetts",1983,1509.27
"707","Massachusetts",1984,1267.46
"708","Massachusetts",1985,1029.97
"709","Massachusetts",1986,1229.36
"710","Massachusetts",1987,1149.86
"711","Massachusetts",1988,1074.67
"712","Massachusetts",1989,1279.65
"713","Massachusetts",1990,1321.05
"714","Massachusetts",1991,1225.04
"715","Massachusetts",1992,1137.67
"716","Massachusetts",1993,1129.03
"717","Massachusetts",1994,1214.37
"718","Massachusetts",1995,1053.85
"719","Massachusetts",1996,1539.49
"720","Massachusetts",1997,1044.45
"721","Massachusetts",1998,1274.06
"722","Massachusetts",1999,1169.42
"723","Massachusetts",2000,1274.83
"724","Massachusetts",2001,1015.49
"725","Massachusetts",2002,1199.64
"726","Massachusetts",2003,1353.57
"727","Massachusetts",2004,1181.1
"728","Massachusetts",2005,1448.05
"729","Massachusetts",2006,1363.98
"730","Massachusetts",2007,1155.45
"731","Massachusetts",2008,1516.38
"732","Massachusetts",2009,1313.43
"733","Massachusetts",2010,1260.6
"734","Massachusetts",2011,1545.08
"735","Massachusetts",2012,1061.21
"736","Massachusetts",2013,1178.31
"737","Massachusetts",2014,1272.54
"738","Massachusetts",2015,1051.31
"739","Massachusetts",2016,935.48
"740","Massachusetts",2017,1189.23
"741","Massachusetts",2018,1550.42
"742","Michigan",1980,802.39
"743","Michigan",1981,815.85
"744","Michigan",1982,875.54
"745","Michigan",1983,885.7
"746","Michigan",1984,811.78
"747","Michigan",1985,996.19
"748","Michigan",1986,883.92
"749","Michigan",1987,773.18
"750","Michigan",1988,821.69
"751","Michigan",1989,700.28
"752","Michigan",1990,919.23
"753","Michigan",1991,901.7
"754","Michigan",1992,847.34
"755","Michigan",1993,823.98
"756","Michigan",1994,822.71
"757","Michigan",1995,808.48
"758","Michigan",1996,863.6
"759","Michigan",1997,760.22
"760","Michigan",1998,750.82
"761","Michigan",1999,797.56
"762","Michigan",2000,838.71
"763","Michigan",2001,893.32
"764","Michigan",2002,784.86
"765","Michigan",2003,789.43
"766","Michigan",2004,897.89
"767","Michigan",2005,759.21
"768","Michigan",2006,910.59
"769","Michigan",2007,778.76
"770","Michigan",2008,935.99
"771","Michigan",2009,860.3
"772","Michigan",2010,792.99
"773","Michigan",2011,935.23
"774","Michigan",2012,787.4
"775","Michigan",2013,971.04
"776","Michigan",2014,931.16
"777","Michigan",2015,806.2
"778","Michigan",2016,910.84
"779","Michigan",2017,997.46
"780","Michigan",2018,918.46
"781","Minnesota",1980,560.58
"782","Minnesota",1981,712.47
"783","Minnesota",1982,757.43
"784","Minnesota",1983,739.9
"785","Minnesota",1984,711.45
"786","Minnesota",1985,779.53
"787","Minnesota",1986,798.83
"788","Minnesota",1987,561.09
"789","Minnesota",1988,569.21
"790","Minnesota",1989,570.74
"791","Minnesota",1990,669.54
"792","Minnesota",1991,817.88
"793","Minnesota",1992,646.94
"794","Minnesota",1993,798.58
"795","Minnesota",1994,717.04
"796","Minnesota",1995,749.55
"797","Minnesota",1996,705.36
"798","Minnesota",1997,640.08
"799","Minnesota",1998,732.28
"800","Minnesota",1999,753.62
"801","Minnesota",2000,710.69
"802","Minnesota",2001,743.71
"803","Minnesota",2002,726.19
"804","Minnesota",2003,563.88
"805","Minnesota",2004,758.7
"806","Minnesota",2005,802.64
"807","Minnesota",2006,578.61
"808","Minnesota",2007,741.93
"809","Minnesota",2008,694.44
"810","Minnesota",2009,670.31
"811","Minnesota",2010,849.38
"812","Minnesota",2011,618.49
"813","Minnesota",2012,664.72
"814","Minnesota",2013,736.85
"815","Minnesota",2014,739.65
"816","Minnesota",2015,748.28
"817","Minnesota",2016,851.92
"818","Minnesota",2017,718.82
"819","Minnesota",2018,764.03
"820","Mississippi",1980,1574.04
"821","Mississippi",1981,1075.44
"822","Mississippi",1982,1690.12
"823","Mississippi",1983,1887.73
"824","Mississippi",1984,1395.22
"825","Mississippi",1985,1340.36
"826","Mississippi",1986,1239.52
"827","Mississippi",1987,1329.18
"828","Mississippi",1988,1330.96
"829","Mississippi",1989,1664.21
"830","Mississippi",1990,1548.64
"831","Mississippi",1991,1877.06
"832","Mississippi",1992,1422.65
"833","Mississippi",1993,1399.03
"834","Mississippi",1994,1536.45
"835","Mississippi",1995,1459.23
"836","Mississippi",1996,1374.65
"837","Mississippi",1997,1647.19
"838","Mississippi",1998,1449.07
"839","Mississippi",1999,1216.66
"840","Mississippi",2000,1133.86
"841","Mississippi",2001,1683.51
"842","Mississippi",2002,1678.43
"843","Mississippi",2003,1498.09
"844","Mississippi",2004,1671.57
"845","Mississippi",2005,1286.26
"846","Mississippi",2006,1332.74
"847","Mississippi",2007,1061.21
"848","Mississippi",2008,1509.78
"849","Mississippi",2009,1737.87
"850","Mississippi",2010,1115.31
"851","Mississippi",2011,1342.14
"852","Mississippi",2012,1502.92
"853","Mississippi",2013,1598.42
"854","Mississippi",2014,1478.79
"855","Mississippi",2015,1538.48
"856","Mississippi",2016,1349.5
"857","Mississippi",2017,1496.82
"858","Mississippi",2018,1695.2
"859","Missouri",1980,732.54
"860","Missouri",1981,1122.93
"861","Missouri",1982,1290.57
"862","Missouri",1983,1045.97
"863","Missouri",1984,1176.02
"864","Missouri",1985,1314.7
"865","Missouri",1986,1077.72
"866","Missouri",1987,1023.37
"867","Missouri",1988,868.93
"868","Missouri",1989,846.33
"869","Missouri",1990,1281.43
"870","Missouri",1991,993.65
"871","Missouri",1992,1060.45
"872","Missouri",1993,1437.89
"873","Missouri",1994,1068.83
"874","Missouri",1995,1068.07
"875","Missouri",1996,1109.47
"876","Missouri",1997,1011.17
"877","Missouri",1998,1266.7
"878","Missouri",1999,935.99
"879","Missouri",2000,906.78
"880","Missouri",2001,1107.69
"881","Missouri",2002,1021.33
"882","Missouri",2003,1016.76
"883","Missouri",2004,1131.06
"884","Missouri",2005,924.81
"885","Missouri",2006,965.45
"886","Missouri",2007,1005.33
"887","Missouri",2008,1424.94
"888","Missouri",2009,1313.43
"889","Missouri",2010,1132.08
