"","State","Year","deg_days_C_days"
"93","Arkansas",1994,1839.4
"94","Arkansas",1995,1909.4
"95","Arkansas",1996,2056.7
"96","Arkansas",1997,2002.8
"97","Arkansas",1998,1676.7
"98","Arkansas",1999,1633.9
"99","Arkansas",2000,1944.4
"100","Arkansas",2001,1811.7
"101","Arkansas",2002,1934.4
"102","Arkansas",2003,1906.1
"103","Arkansas",2004,1743.9
"104","Arkansas",2005,1732.2
"105","Arkansas",2006,1663.3
"106","Arkansas",2007,1757.2
"107","Arkansas",2008,1992.2
"108","Arkansas",2009,1937.2
"109","Arkansas",2010,2035.6
"110","Arkansas",2011,1835
"111","Arkansas",2012,1496.1
"112","Arkansas",2013,2045
"113","Arkansas",2014,2172.2
"114","Arkansas",2015,1813.9
"115","Arkansas",2016,1626.7
"116","Arkansas",2017,1500.6
"117","Arkansas",2018,1978.3
"118","California",1980,1611.7
"119","California",1981,1542.8
"120","California",1982,1884.4
"121","California",1983,1677.8
"122","California",1984,1678.3
"123","California",1985,1800
"124","California",1986,1492.8
"125","California",1987,1659.4
"126","California",1988,1588.3
"127","California",1989,1610.6
"128","California",1990,1686.7
"129","California",1991,1662.2
"130","California",1992,1490.6
"131","California",1993,1600.6
"132","California",1994,1735.6
"133","California",1995,1500
"134","California",1996,1453.3
"135","California",1997,1462.2
"136","California",1998,1875
"137","California",1999,1678.3
"138","California",2000,1555.6
"139","California",2001,1629.4
"140","California",2002,1620
"141","California",2003,1556.1
"142","California",2004,1561.1
"143","California",2005,1546.1
"144","California",2006,1656.7
"145","California",2007,1580
"146","California",2008,1571.7
"147","California",2009,1581.7
"148","California",2010,1696.7
"149","California",2011,1750
"150","California",2012,1505
"151","California",2013,1486.1
"152","California",2014,1144.4
"153","California",2015,1283.3
"154","California",2016,1336.7
"155","California",2017,1338.9
"156","California",2018,1393.9
"157","Colorado",1980,4042.2
"158","Colorado",1981,3694.4
"159","Colorado",1982,4240
"160","Colorado",1983,4293.3
"161","Colorado",1984,4322.2
"162","Colorado",1985,4310.6
"163","Colorado",1986,3807.2
"164","Colorado",1987,4007.8
"165","Colorado",1988,4075.6
"166","Colorado",1989,4034.4
"167","Colorado",1990,3986.1
"168","Colorado",1991,4003.3
"169","Colorado",1992,3950.6
"170","Colorado",1993,4305
"171","Colorado",1994,3792.2
"172","Colorado",1995,3993.3
"173","Colorado",1996,3978.3
"174","Colorado",1997,4125
"175","Colorado",1998,3855.6
"176","Colorado",1999,3743.3
"177","Colorado",2000,3803.3
"178","Colorado",2001,3804.4
"179","Colorado",2002,4001.1
"180","Colorado",2003,3784.4
"181","Colorado",2004,3852.8
"182","Colorado",2005,3780
"183","Colorado",2006,3830.6
"184","Colorado",2007,3958.9
"185","Colorado",2008,4124.4
"186","Colorado",2009,4068.9
"187","Colorado",2010,3905.6
"188","Colorado",2011,4092.8
"189","Colorado",2012,3538.9
"190","Colorado",2013,4139.4
"191","Colorado",2014,3957.2
"192","Colorado",2015,3686.7
"193","Colorado",2016,3690.6
"194","Colorado",2017,3582.2
"195","Colorado",2018,3808.3
"196","Connecticut",1980,3592.8
"197","Connecticut",1981,3502.8
"198","Connecticut",1982,3502.8
"199","Connecticut",1983,3330.6
"200","Connecticut",1984,3384.4
"201","Connecticut",1985,3382.2
"202","Connecticut",1986,3385
"203","Connecticut",1987,3383.3
"204","Connecticut",1988,3555.6
"205","Connecticut",1989,3564.4
"206","Connecticut",1990,2967.8
"207","Connecticut",1991,3026.7
"208","Connecticut",1992,3527.2
"209","Connecticut",1993,3467.8
"210","Connecticut",1994,3451.1
"211","Connecticut",1995,3397.8
"212","Connecticut",1996,3467.2
"213","Connecticut",1997,3396.1
"214","Connecticut",1998,2892.2
"215","Connecticut",1999,3102.8
"216","Connecticut",2000,3377.8
"217","Connecticut",2001,3133.9
"218","Connecticut",2002,3148.3
"219","Connecticut",2003,3571.7
"220","Connecticut",2004,3401.1
"221","Connecticut",2005,3415.6
"222","Connecticut",2006,2993.9
"223","Connecticut",2007,3287.8
"224","Connecticut",2008,3265.6
"225","Connecticut",2009,3374.4
"226","Connecticut",2010,3051.7
"227","Connecticut",2011,3097.2
"228","Connecticut",2012,2777.8
"229","Connecticut",2013,3278.3
"230","Connecticut",2014,3431.1
"231","Connecticut",2015,3284.4
"232","Connecticut",2016,2963.9
"233","Connecticut",2017,3005.6
"234","Connecticut",2018,3179.4
"235","Delaware",1980,2861.1
"236","Delaware",1981,2845.6
"237","Delaware",1982,2718.9
"238","Delaware",1983,2671.1
"239","Delaware",1984,2683.3
"240","Delaware",1985,2518.9
"241","Delaware",1986,2627.8
"242","Delaware",1987,2709.4
"243","Delaware",1988,2860
"244","Delaware",1989,2817.2
"245","Delaware",1990,2179.4
"246","Delaware",1991,2336.1
"247","Delaware",1992,2695.6
"248","Delaware",1993,2705
"249","Delaware",1994,2657.2
"250","Delaware",1995,2659.4
"251","Delaware",1996,2768.3
"252","Delaware",1997,2603.9
"253","Delaware",1998,2185
"254","Delaware",1999,2418.3
"255","Delaware",2000,2616.1
"256","Delaware",2001,2402.2
"257","Delaware",2002,2347.2
"258","Delaware",2003,2732.8
"259","Delaware",2004,2537.2
"260","Delaware",2005,2623.3
"261","Delaware",2006,2210.6
"262","Delaware",2007,2474.4
"263","Delaware",2008,2435
"264","Delaware",2009,2546.7
"265","Delaware",2010,2531.7
"266","Delaware",2011,2349.4
"267","Delaware",2012,2126.7
"268","Delaware",2013,2531.1
"269","Delaware",2014,2715
"270","Delaware",2015,2476.1
"271","Delaware",2016,2340
"272","Delaware",2017,2230
"273","Delaware",2018,2482.8
"274","Florida",1980,466.7
"275","Florida",1981,560.6
"276","Florida",1982,265
"277","Florida",1983,473.3
"278","Florida",1984,381.7
"279","Florida",1985,420
"280","Florida",1986,318.3
"281","Florida",1987,392.8
"282","Florida",1988,425
"283","Florida",1989,356.1
"284","Florida",1990,221.1
"285","Florida",1991,285
"286","Florida",1992,357.2
"287","Florida",1993,395.6
"288","Florida",1994,280.6
"289","Florida",1995,413.3
"290","Florida",1996,426.1
"291","Florida",1997,303.3
"292","Florida",1998,292.2
"293","Florida",1999,331.7
"294","Florida",2000,381.7
"295","Florida",2001,335
"296","Florida",2002,362.8
"297","Florida",2003,411.1
"298","Florida",2004,375.6
"299","Florida",2005,373.3
"300","Florida",2006,317.8
"301","Florida",2007,292.2
"302","Florida",2008,334.4
"303","Florida",2009,373.9
"304","Florida",2010,691.1
"305","Florida",2011,322.8
"306","Florida",2012,285.6
"307","Florida",2013,285
"308","Florida",2014,381.7
"309","Florida",2015,250.6
"310","Florida",2016,292.8
"311","Florida",2017,232.8
"312","Florida",2018,310
"313","Georgia",1980,1808.9
"314","Georgia",1981,1837.8
"315","Georgia",1982,1525.6
"316","Georgia",1983,1865
"317","Georgia",1984,1587.8
"318","Georgia",1985,1587.8
"319","Georgia",1986,1474.4
"320","Georgia",1987,1689.4
"321","Georgia",1988,1782.8
"322","Georgia",1989,1626.1
"323","Georgia",1990,1282.2
"324","Georgia",1991,1457.2
"325","Georgia",1992,1637.2
"326","Georgia",1993,1739.4
"327","Georgia",1994,1511.1
"328","Georgia",1995,1655
"329","Georgia",1996,1762.2
"330","Georgia",1997,1592.8
"331","Georgia",1998,1373.3
"332","Georgia",1999,1448.3
"333","Georgia",2000,1669.4
"334","Georgia",2001,1470.6
"335","Georgia",2002,1547.8
"336","Georgia",2003,1598.9
"337","Georgia",2004,1518.3
"338","Georgia",2005,1565
"339","Georgia",2006,1446.1
"340","Georgia",2007,1431.1
"341","Georgia",2008,1621.7
"342","Georgia",2009,1638.3
"343","Georgia",2010,1898.3
"344","Georgia",2011,1510
"345","Georgia",2012,1271.7
"346","Georgia",2013,1606.1
"347","Georgia",2014,1741.1
"348","Georgia",2015,1398.9
"349","Georgia",2016,1382.8
"350","Georgia",2017,1229.4
"351","Georgia",2018,1540.6
"352","Idaho",1980,3867.2
"353","Idaho",1981,3708.9
"354","Idaho",1982,4315
"355","Idaho",1983,3923.3
"356","Idaho",1984,4423.3
"357","Idaho",1985,4741.1
"358","Idaho",1986,3780
"359","Idaho",1987,3635
"360","Idaho",1988,3792.8
"361","Idaho",1989,4080.6
"362","Idaho",1990,3895.6
"363","Idaho",1991,3965.6
"364","Idaho",1992,3576.7
"365","Idaho",1993,4296.1
"366","Idaho",1994,3775.6
"367","Idaho",1995,3762.8
"368","Idaho",1996,3919.4
"369","Idaho",1997,3853.9
"370","Idaho",1998,3738.9
"371","Idaho",1999,3820
"372","Idaho",2000,3834.4
"373","Idaho",2001,3804.4
"374","Idaho",2002,3977.8
"375","Idaho",2003,3567.8
"376","Idaho",2004,3742.2
"377","Idaho",2005,3892.8
"378","Idaho",2006,3776.1
"379","Idaho",2007,3725
"380","Idaho",2008,4077.2
"381","Idaho",2009,4040.6
"382","Idaho",2010,3852.8
"383","Idaho",2011,4113.3
"384","Idaho",2012,3607.2
"385","Idaho",2013,3991.1
"386","Idaho",2014,3605
"387","Idaho",2015,3390
"388","Idaho",2016,3571.7
"389","Idaho",2017,3877.8
"390","Idaho",2018,3693.9
"391","Illinois",1980,3705
"392","Illinois",1981,3472.2
"393","Illinois",1982,3671.1
"394","Illinois",1983,3558.9
"395","Illinois",1984,3498.9
"396","Illinois",1985,3673.9
"397","Illinois",1986,3338.3
"398","Illinois",1987,3123.3
"399","Illinois",1988,3583.3
"400","Illinois",1989,3736.1
"401","Illinois",1990,3097.8
"402","Illinois",1991,3265.6
"403","Illinois",1992,3370
"404","Illinois",1993,3636.7
"405","Illinois",1994,3418.3
"406","Illinois",1995,3635.6
"407","Illinois",1996,3803.9
"408","Illinois",1997,3605
"409","Illinois",1998,2850
"410","Illinois",1999,3212.2
"411","Illinois",2000,3382.2
"412","Illinois",2001,3166.7
"413","Illinois",2002,3310.6
"414","Illinois",2003,3468.3
"415","Illinois",2004,3264.4
"416","Illinois",2005,3270.6
"417","Illinois",2006,3052.8
"418","Illinois",2007,3276.7
"419","Illinois",2008,3670.6
"420","Illinois",2009,3530
"421","Illinois",2010,3370
"422","Illinois",2011,3334.4
"423","Illinois",2012,2837.2
"424","Illinois",2013,3649.4
"425","Illinois",2014,3955
"426","Illinois",2015,3311.7
"427","Illinois",2016,3056.7
"428","Illinois",2017,3055.6
"429","Illinois",2018,3545
"430","Indiana",1980,3520.6
"431","Indiana",1981,3363.3
"432","Indiana",1982,3352.2
"433","Indiana",1983,3305.6
"434","Indiana",1984,3293.9
"435","Indiana",1985,3296.1
"436","Indiana",1986,3107.8
"437","Indiana",1987,3005.6
"438","Indiana",1988,3401.1
"439","Indiana",1989,3461.7
"440","Indiana",1990,2825
"441","Indiana",1991,2945.6
"442","Indiana",1992,3137.2
"443","Indiana",1993,3388.9
"444","Indiana",1994,3197.8
"445","Indiana",1995,3337.8
"446","Indiana",1996,3488.3
"447","Indiana",1997,3363.3
"448","Indiana",1998,2638.9
"449","Indiana",1999,2988.9
"450","Indiana",2000,3210
"451","Indiana",2001,2905
"452","Indiana",2002,3054.4
"453","Indiana",2003,3266.7
"454","Indiana",2004,3052.2
"455","Indiana",2005,3103.3
"456","Indiana",2006,2841.1
"457","Indiana",2007,3014.4
"458","Indiana",2008,3336.1
"459","Indiana",2009,3216.7
"460","Indiana",2010,3191.7
"461","Indiana",2011,3034.4
"462","Indiana",2012,2666.7
"463","Indiana",2013,3293.9
"464","Indiana",2014,3628.9
"465","Indiana",2015,3096.1
"466","Indiana",2016,2833.9
"467","Indiana",2017,2753.3
"468","Indiana",2018,3212.8
"469","Iowa",1980,3919.4
"470","Iowa",1981,3618.3
"471","Iowa",1982,4147.2
"472","Iowa",1983,4022.8
"473","Iowa",1984,3862.8
"474","Iowa",1985,4177.2
"475","Iowa",1986,3730.6
"476","Iowa",1987,3304.4
"477","Iowa",1988,3881.7
"478","Iowa",1989,4078.9
"479","Iowa",1990,3526.1
"480","Iowa",1991,3777.2
"481","Iowa",1992,3697.2
"482","Iowa",1993,4176.7
"483","Iowa",1994,3870.6
"484","Iowa",1995,4021.1
"485","Iowa",1996,4287.2
"486","Iowa",1997,3967.8
"487","Iowa",1998,3307.2
"488","Iowa",1999,3521.7
"489","Iowa",2000,3715
"490","Iowa",2001,3611.1
"491","Iowa",2002,3650
"492","Iowa",2003,3827.8
"493","Iowa",2004,3619.4
"494","Iowa",2005,3611.7
"495","Iowa",2006,3368.3
"496","Iowa",2007,3729.4
"497","Iowa",2008,4198.9
"498","Iowa",2009,3966.1
"499","Iowa",2010,3849.4
"500","Iowa",2011,3774.4
"501","Iowa",2012,3165.6
"502","Iowa",2013,4097.8
"503","Iowa",2014,4285
"504","Iowa",2015,3563.3
"505","Iowa",2016,3367.2
"506","Iowa",2017,3443.3
"507","Iowa",2018,4019.4
"508","Kansas",1980,2863.3
"509","Kansas",1981,2556.1
"510","Kansas",1982,2960.6
"511","Kansas",1983,3129.4
"512","Kansas",1984,2841.7
"513","Kansas",1985,3098.9
"514","Kansas",1986,2510.6
"515","Kansas",1987,2555.6
"516","Kansas",1988,2793.9
"517","Kansas",1989,2891.7
"518","Kansas",1990,2546.7
"519","Kansas",1991,2588.3
"520","Kansas",1992,2575
"521","Kansas",1993,3113.9
"522","Kansas",1994,2676.1
"523","Kansas",1995,2825
"524","Kansas",1996,2992.2
"525","Kansas",1997,2845.6
"526","Kansas",1998,2524.4
"527","Kansas",1999,2442.8
"528","Kansas",2000,2720
"529","Kansas",2001,2556.1
"530","Kansas",2002,2721.1
"531","Kansas",2003,2714.4
"532","Kansas",2004,2560.6
"533","Kansas",2005,2571.7
"534","Kansas",2006,2332.8
"535","Kansas",2007,2680
"536","Kansas",2008,2915.6
"537","Kansas",2009,2816.7
"538","Kansas",2010,2764.4
"539","Kansas",2011,2773.9
"540","Kansas",2012,2173.9
"541","Kansas",2013,2956.7
"542","Kansas",2014,2928.9
"543","Kansas",2015,2475.6
"544","Kansas",2016,2313.3
"545","Kansas",2017,2333.9
"546","Kansas",2018,2870.6
"547","Kentucky",1980,2819.4
"548","Kentucky",1981,2736.7
"549","Kentucky",1982,2502.2
"550","Kentucky",1983,2707.2
"551","Kentucky",1984,2548.3
"552","Kentucky",1985,2590.6
"553","Kentucky",1986,2397.2
"554","Kentucky",1987,2455.6
"555","Kentucky",1988,2736.7
"556","Kentucky",1989,2698.3
"557","Kentucky",1990,2142.2
"558","Kentucky",1991,2280.6
"559","Kentucky",1992,2479.4
"560","Kentucky",1993,2675.6
"561","Kentucky",1994,2507.8
"562","Kentucky",1995,2625.6
"563","Kentucky",1996,2702.8
"564","Kentucky",1997,2645.6
"565","Kentucky",1998,2125
"566","Kentucky",1999,2283.9
"567","Kentucky",2000,2523.3
"568","Kentucky",2001,2326.1
"569","Kentucky",2002,2408.9
"570","Kentucky",2003,2535
"571","Kentucky",2004,2336.1
"572","Kentucky",2005,2416.1
"573","Kentucky",2006,2276.1
"574","Kentucky",2007,2283.9
"575","Kentucky",2008,2585.6
"576","Kentucky",2009,2510
"577","Kentucky",2010,2662.2
"578","Kentucky",2011,2347.2
"579","Kentucky",2012,2085.6
"580","Kentucky",2013,2592.2
"581","Kentucky",2014,2767.8
"582","Kentucky",2015,2370
"583","Kentucky",2016,2244.4
"584","Kentucky",2017,2093.3
"585","Kentucky",2018,2461.1
"586","Louisiana",1980,1115
"587","Louisiana",1981,1065
"588","Louisiana",1982,884.4
"589","Louisiana",1983,1215
"590","Louisiana",1984,941.1
"591","Louisiana",1985,1046.1
"592","Louisiana",1986,899.4
"593","Louisiana",1987,1013.3
"594","Louisiana",1988,1040
"595","Louisiana",1989,1032.8
"596","Louisiana",1990,757.8
"597","Louisiana",1991,907.8
"598","Louisiana",1992,946.1
"599","Louisiana",1993,1068.9
"600","Louisiana",1994,891.7
"601","Louisiana",1995,947.8
"602","Louisiana",1996,983.9
"603","Louisiana",1997,1000
"604","Louisiana",1998,825.6
"605","Louisiana",1999,797.8
"606","Louisiana",2000,946.7
"607","Louisiana",2001,906.1
"608","Louisiana",2002,983.3
"609","Louisiana",2003,1016.1
"610","Louisiana",2004,901.7
"611","Louisiana",2005,862.2
"612","Louisiana",2006,812.8
"613","Louisiana",2007,851.1
"614","Louisiana",2008,914.4
"615","Louisiana",2009,918.3
"616","Louisiana",2010,1213.9
"617","Louisiana",2011,922.8
"618","Louisiana",2012,696.7
"619","Louisiana",2013,992.8
"620","Louisiana",2014,1147.8
"621","Louisiana",2015,830.6
"622","Louisiana",2016,745
"623","Louisiana",2017,633.3
"624","Louisiana",2018,927.2
"625","Maine",1980,4705
"626","Maine",1981,4327.2
"627","Maine",1982,4616.7
"628","Maine",1983,4243.9
"629","Maine",1984,4397.8
"630","Maine",1985,4620
"631","Maine",1986,4551.7
"632","Maine",1987,4453.9
"633","Maine",1988,4483.9
"634","Maine",1989,4755
"635","Maine",1990,4150.6
"636","Maine",1991,4250.6
"637","Maine",1992,4640
"638","Maine",1993,4622.8
"639","Maine",1994,4556.7
"640","Maine",1995,4478.9
"641","Maine",1996,4464.4
"642","Maine",1997,4617.8
"643","Maine",1998,3970.6
"644","Maine",1999,3959.4
"645","Maine",2000,4407.8
"646","Maine",2001,4183.9
"647","Maine",2002,4297.8
"648","Maine",2003,4573.3
"649","Maine",2004,4532.8
"650","Maine",2005,4348.9
"651","Maine",2006,3896.1
"652","Maine",2007,4455
"653","Maine",2008,4314.4
"654","Maine",2009,4468.9
"655","Maine",2010,3815
"656","Maine",2011,4132.8
"657","Maine",2012,3920
"658","Maine",2013,4292.8
"659","Maine",2014,4411.1
"660","Maine",2015,4447.2
"661","Maine",2016,4029.4
"662","Maine",2017,4157.2
"663","Maine",2018,4340.6
"664","Maryland",1980,2862.8
"665","Maryland",1981,2837.8
"666","Maryland",1982,2718.3
"667","Maryland",1983,2730
"668","Maryland",1984,2671.7
"669","Maryland",1985,2535.6
"670","Maryland",1986,2647.8
"671","Maryland",1987,2678.9
"672","Maryland",1988,2854.4
"673","Maryland",1989,2825
"674","Maryland",1990,2169.4
"675","Maryland",1991,2354.4
"676","Maryland",1992,2705.6
"677","Maryland",1993,2759.4
"678","Maryland",1994,2676.7
"679","Maryland",1995,2716.1
"680","Maryland",1996,2835
"681","Maryland",1997,2641.7
"682","Maryland",1998,2187.2
"683","Maryland",1999,2465
"684","Maryland",2000,2628.9
"685","Maryland",2001,2440.6
"686","Maryland",2002,2421.7
"687","Maryland",2003,2748.3
"688","Maryland",2004,2558.9
"689","Maryland",2005,2630
"690","Maryland",2006,2264.4
"691","Maryland",2007,2502.2
"692","Maryland",2008,2507.8
"693","Maryland",2009,2612.2
"694","Maryland",2010,2555
"695","Maryland",2011,2399.4
"696","Maryland",2012,2178.3
"697","Maryland",2013,2602.2
"698","Maryland",2014,2808.3
"699","Maryland",2015,2546.1
"700","Maryland",2016,2410
"701","Maryland",2017,2266.1
"702","Maryland",2018,2563.3
"703","Massachusetts",1980,3792.8
"704","Massachusetts",1981,3667.8
"705","Massachusetts",1982,3680.6
"706","Massachusetts",1983,3450.6
"707","Massachusetts",1984,3531.1
"708","Massachusetts",1985,3609.4
"709","Massachusetts",1986,3575.6
"710","Massachusetts",1987,3603.9
"711","Massachusetts",1988,3702.2
"712","Massachusetts",1989,3763.3
"713","Massachusetts",1990,3182.2
"714","Massachusetts",1991,3221.7
"715","Massachusetts",1992,3733.9
"716","Massachusetts",1993,3643.9
"717","Massachusetts",1994,3605
"718","Massachusetts",1995,3570
"719","Massachusetts",1996,3612.8
"720","Massachusetts",1997,3592.2
"721","Massachusetts",1998,3071.1
"722","Massachusetts",1999,3227.2
"723","Massachusetts",2000,3518.9
"724","Massachusetts",2001,3296.1
"725","Massachusetts",2002,3296.1
"726","Massachusetts",2003,3725
"727","Massachusetts",2004,3566.1
"728","Massachusetts",2005,3548.3
"729","Massachusetts",2006,3127.2
"730","Massachusetts",2007,3465.6
"731","Massachusetts",2008,3420
"732","Massachusetts",2009,3529.4
"733","Massachusetts",2010,3163.9
"734","Massachusetts",2011,3241.1
"735","Massachusetts",2012,2926.7
"736","Massachusetts",2013,3413.3
"737","Massachusetts",2014,3538.9
"738","Massachusetts",2015,3467.2
"739","Massachusetts",2016,3158.3
"740","Massachusetts",2017,3205
"741","Massachusetts",2018,3346.1
"742","Michigan",1980,4196.1
"743","Michigan",1981,3995
"744","Michigan",1982,4012.2
"745","Michigan",1983,3917.8
"746","Michigan",1984,3941.7
"747","Michigan",1985,3941.1
"748","Michigan",1986,3826.7
"749","Michigan",1987,3556.1
"750","Michigan",1988,3961.7
"751","Michigan",1989,4161.7
"752","Michigan",1990,3540.6
"753","Michigan",1991,3601.1
"754","Michigan",1992,3944.4
"755","Michigan",1993,4077.2
"756","Michigan",1994,3936.7
"757","Michigan",1995,4015
"758","Michigan",1996,4154.4
"759","Michigan",1997,4010.6
"760","Michigan",1998,3188.3
"761","Michigan",1999,3598.3
"762","Michigan",2000,3750.6
"763","Michigan",2001,3470
"764","Michigan",2002,3685
"765","Michigan",2003,3948.9
"766","Michigan",2004,3748.9
"767","Michigan",2005,3758.9
"768","Michigan",2006,3408.3
"769","Michigan",2007,3627.2
"770","Michigan",2008,3916.7
"771","Michigan",2009,3891.1
"772","Michigan",2010,3540
"773","Michigan",2011,3724.4
"774","Michigan",2012,3193.9
"775","Michigan",2013,3881.1
"776","Michigan",2014,4246.7
"777","Michigan",2015,3715.6
"778","Michigan",2016,3405.6
"779","Michigan",2017,3445
"780","Michigan",2018,3787.8
"781","Minnesota",1980,4947.2
"782","Minnesota",1981,4577.8
"783","Minnesota",1982,5200.6
"784","Minnesota",1983,4932.2
"785","Minnesota",1984,4846.1
"786","Minnesota",1985,5221.7
"787","Minnesota",1986,4742.2
"788","Minnesota",1987,4095
"789","Minnesota",1988,4918.3
"790","Minnesota",1989,5237.8
"791","Minnesota",1990,4539.4
"792","Minnesota",1991,4780.6
"793","Minnesota",1992,4735
"794","Minnesota",1993,5177.2
"795","Minnesota",1994,4838.3
"796","Minnesota",1995,5026.1
"797","Minnesota",1996,5464.4
"798","Minnesota",1997,4916.1
"799","Minnesota",1998,4101.7
"800","Minnesota",1999,4356.7
"801","Minnesota",2000,4677.2
"802","Minnesota",2001,4484.4
"803","Minnesota",2002,4693.3
"804","Minnesota",2003,4761.1
"805","Minnesota",2004,4676.7
"806","Minnesota",2005,4498.9
"807","Minnesota",2006,4234.4
"808","Minnesota",2007,4593.3
"809","Minnesota",2008,5135.6
"810","Minnesota",2009,4941.1
"811","Minnesota",2010,4536.1
"812","Minnesota",2011,4691.1
"813","Minnesota",2012,4088.3
"814","Minnesota",2013,5191.1
"815","Minnesota",2014,5332.2
"816","Minnesota",2015,4367.2
"817","Minnesota",2016,4202.8
"818","Minnesota",2017,4509.4
"819","Minnesota",2018,4986.1
"820","Mississippi",1980,1571.7
"821","Mississippi",1981,1484.4
"822","Mississippi",1982,1291.1
"823","Mississippi",1983,1640
"824","Mississippi",1984,1340
"825","Mississippi",1985,1458.9
"826","Mississippi",1986,1288.3
"827","Mississippi",1987,1389.4
"828","Mississippi",1988,1496.1
"829","Mississippi",1989,1452.2
"830","Mississippi",1990,1107.2
"831","Mississippi",1991,1278.9
"832","Mississippi",1992,1363.3
"833","Mississippi",1993,1508.3
"834","Mississippi",1994,1290.6
"835","Mississippi",1995,1385
"836","Mississippi",1996,1428.9
"837","Mississippi",1997,1420.6
"838","Mississippi",1998,1170
"839","Mississippi",1999,1173.3
"840","Mississippi",2000,1383.9
"841","Mississippi",2001,1308.3
"842","Mississippi",2002,1370
"843","Mississippi",2003,1411.1
"844","Mississippi",2004,1280.6
"845","Mississippi",2005,1284.4
"846","Mississippi",2006,1224.4
"847","Mississippi",2007,1217.2
"848","Mississippi",2008,1382.8
"849","Mississippi",2009,1357.8
"850","Mississippi",2010,1632.8
"851","Mississippi",2011,1321.1
"852","Mississippi",2012,1068.9
"853","Mississippi",2013,1428.3
"854","Mississippi",2014,1581.7
"855","Mississippi",2015,1185.6
"856","Mississippi",2016,1142.2
"857","Mississippi",2017,990.6
"858","Mississippi",2018,1360
"859","Missouri",1980,3001.1
"860","Missouri",1981,2752.8
"861","Missouri",1982,2992.2
"862","Missouri",1983,3071.1
"863","Missouri",1984,2853.9
"864","Missouri",1985,3101.7
"865","Missouri",1986,2662.8
"866","Missouri",1987,2584.4
"867","Missouri",1988,2918.9
"868","Missouri",1989,3021.7
"869","Missouri",1990,2512.2
"870","Missouri",1991,2653.3
"871","Missouri",1992,2663.9
"872","Missouri",1993,3134.4
"873","Missouri",1994,2759.4
"874","Missouri",1995,2936.7
"875","Missouri",1996,3107.2
"876","Missouri",1997,2958.3
"877","Missouri",1998,2468.9
"878","Missouri",1999,2516.1
"879","Missouri",2000,2796.7
"880","Missouri",2001,2629.4
"881","Missouri",2002,2765.6
"882","Missouri",2003,2826.7
"883","Missouri",2004,2651.7
"884","Missouri",2005,2634.4
